Track Name,Track ID,Artist,Track Popularity,Playlist_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist ID,Artist Followers,Artist genres,Artist popularity
ホタルノヒカリ,7HAkrW8JUYoVR9dXwb6Uku,Ikimonogakari,Ikimonogakari,lit anime music,0.769,0.961,4,-2.316,0,0.0371,0.263,0.0,0.146,0.89,114.982,audio_features,40gUfKHwCNLpXowFN9Hvsu,spotify:track:40gUfKHwCNLpXowFN9Hvsu,https://api.spotify.com/v1/tracks/40gUfKHwCNLpXowFN9Hvsu,https://api.spotify.com/v1/audio-analysis/40gUfKHwCNLpXowFN9Hvsu,206267,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
熱情のスペクトラム,1p0WZg4NXoNVGj2AuoLJe7,Ikimonogakari,Ikimonogakari,lit anime music,0.757,0.898,5,-1.632,0,0.0327,0.0927,7.85e-06,0.493,0.537,125.029,audio_features,7tMN6iGJMulMFpSCeU7pmU,spotify:track:7tMN6iGJMulMFpSCeU7pmU,https://api.spotify.com/v1/tracks/7tMN6iGJMulMFpSCeU7pmU,https://api.spotify.com/v1/audio-analysis/7tMN6iGJMulMFpSCeU7pmU,196947,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
HANABI,0jMK77q1Jf0NcFsdNAtqna,Ikimonogakari,Ikimonogakari,Shounen Anime Vibes (Anime Opening & Ending),0.758,0.858,5,-2.502,1,0.0464,0.43,0.0,0.201,0.963,119.992,audio_features,6Yj8kVuVR3UPxx9r5eFEoV,spotify:track:6Yj8kVuVR3UPxx9r5eFEoV,https://api.spotify.com/v1/tracks/6Yj8kVuVR3UPxx9r5eFEoV,https://api.spotify.com/v1/audio-analysis/6Yj8kVuVR3UPxx9r5eFEoV,179808,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
熱情のスペクトラム,1p0WZg4NXoNVGj2AuoLJe7,Ikimonogakari,Ikimonogakari,Shounen Anime Vibes (Anime Opening & Ending),0.714,0.812,7,-2.703,1,0.0351,0.00189,1.96e-06,0.229,0.377,112.018,audio_features,6BKOhvRPY54uvfqWwg7MKi,spotify:track:6BKOhvRPY54uvfqWwg7MKi,https://api.spotify.com/v1/tracks/6BKOhvRPY54uvfqWwg7MKi,https://api.spotify.com/v1/audio-analysis/6BKOhvRPY54uvfqWwg7MKi,189882,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
unravel,0GLyqTysS0DFoeKjURtB8s,TK from Ling tosite sigure,TK from Ling tosite sigure,Shounen Anime Vibes (Anime Opening & Ending),0.879,0.695,1,-5.87,0,0.0521,0.0192,0.00976,0.0515,0.963,139.985,audio_features,6ZizEG2wtzeHrgKEv1eBmD,spotify:track:6ZizEG2wtzeHrgKEv1eBmD,https://api.spotify.com/v1/tracks/6ZizEG2wtzeHrgKEv1eBmD,https://api.spotify.com/v1/audio-analysis/6ZizEG2wtzeHrgKEv1eBmD,181328,4,3B9O5mYYw89fFXkwKh7jCS,302105.0,"['j-poprock', 'j-rock', 'otacore']",62.0
unravel,0GLyqTysS0DFoeKjURtB8s,TK from Ling tosite sigure,TK from Ling tosite sigure,lit anime music,0.646,0.99,6,-1.72,1,0.0726,0.0766,5.08e-05,0.175,0.739,139.973,audio_features,7K0qoyK48Um3llVR4TH0rI,spotify:track:7K0qoyK48Um3llVR4TH0rI,https://api.spotify.com/v1/tracks/7K0qoyK48Um3llVR4TH0rI,https://api.spotify.com/v1/audio-analysis/7K0qoyK48Um3llVR4TH0rI,195000,4,3B9O5mYYw89fFXkwKh7jCS,302105.0,"['j-poprock', 'j-rock', 'otacore']",62.0
Signal,2GVUVJYUnTFpTHzkyjbJj8,TK from Ling tosite sigure,TK from Ling tosite sigure,lit anime music,0.675,0.889,1,-3.052,1,0.0434,0.0675,0.0,0.238,0.96,136.029,audio_features,1fdJzqvZen47mh7gsB68RH,spotify:track:1fdJzqvZen47mh7gsB68RH,https://api.spotify.com/v1/tracks/1fdJzqvZen47mh7gsB68RH,https://api.spotify.com/v1/audio-analysis/1fdJzqvZen47mh7gsB68RH,208196,4,3B9O5mYYw89fFXkwKh7jCS,302105.0,"['j-poprock', 'j-rock', 'otacore']",62.0
katharsis,0PnrdoLqdpScsUTYd06Zb8,TK from Ling tosite sigure,TK from Ling tosite sigure,Shounen Anime Vibes (Anime Opening & Ending),0.701,0.968,1,-0.913,1,0.078,0.103,0.0,0.832,0.913,100.009,audio_features,548FKDwnyPFkfWmtoK6ETA,spotify:track:548FKDwnyPFkfWmtoK6ETA,https://api.spotify.com/v1/tracks/548FKDwnyPFkfWmtoK6ETA,https://api.spotify.com/v1/audio-analysis/548FKDwnyPFkfWmtoK6ETA,219533,4,3B9O5mYYw89fFXkwKh7jCS,302105.0,"['j-poprock', 'j-rock', 'otacore']",62.0
光るなら,2cwvwUyyjjFsv55EywX9Zo,Goose house,Goose house,lit anime music,0.882,0.786,3,-7.383,0,0.075,0.102,0.00142,0.0856,0.95,130.978,audio_features,7C3JLAmQzy9SnTZjKcdzCA,spotify:track:7C3JLAmQzy9SnTZjKcdzCA,https://api.spotify.com/v1/tracks/7C3JLAmQzy9SnTZjKcdzCA,https://api.spotify.com/v1/audio-analysis/7C3JLAmQzy9SnTZjKcdzCA,212533,4,7BzEKSgHp2yrNC6w5NkFhQ,197841.0,[],59.0
O2,3Zdp1tkV0qP36Wor9cUPwj,ORANGE RANGE,ORANGE RANGE,Shounen Anime Vibes (Anime Opening & Ending),0.882,0.786,3,-7.383,0,0.075,0.102,0.00142,0.0856,0.95,130.978,audio_features,7C3JLAmQzy9SnTZjKcdzCA,spotify:track:7C3JLAmQzy9SnTZjKcdzCA,https://api.spotify.com/v1/tracks/7C3JLAmQzy9SnTZjKcdzCA,https://api.spotify.com/v1/audio-analysis/7C3JLAmQzy9SnTZjKcdzCA,212533,4,4upiYMjsFfLRieGo8RVRzD,376705.0,"['j-pop', 'j-poprock', 'j-rock', 'okinawan pop']",56.0
